"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Argentina"
"7","Aruba"
"8","Australia"
"9","Austria"
"10","Azerbaijan"
"11","Bahamas"
"12","Bahrain"
"13","Bangladesh"
"14","Barbados"
"15","Belarus"
"16","Belgium"
"17","Belize"
"18","Benin"
"19","Bermuda"
"20","Bolivia"
"21","Bosnia and Herzegovina"
"22","Botswana"
"23","Brazil"
"24","Brunei"
"25","Bulgaria"
"26","Burkina Faso"
"27","Burundi"
"28","Cambodia"
"29","Cameroon"
"30","Canada"
"31","Central African Republic"
"32","Chile"
"33","China"
"34","Colombia"
"35","Comoros"
"36","Congo"
"37","Costa Rica"
"38","Cote d'Ivoire"
"39","Croatia"
"40","Cuba"
"41","Cyprus"
"42","Czech Republic"
"43","Democratic Republic of Congo"
"44","Denmark"
"45","Djibouti"
"46","Dominica"
"47","Dominican Republic"
"48","Ecuador"
"49","Egypt"
"50","El Salvador"
"51","Estonia"
"52","Eswatini"
"53","Ethiopia"
"54","Faeroe Islands"
"55","Finland"
"56","France"
"57","Gabon"
"58","Gambia"
"59","Georgia"
"60","Germany"
"61","Ghana"
"62","Greece"
"63","Guatemala"
"64","Guinea"
"65","Guyana"
"66","Haiti"
"67","Honduras"
"68","Hong Kong"
"69","Hungary"
"70","Iceland"
"71","India"
"72","Indonesia"
"73","Iran"
"74","Iraq"
"75","Ireland"
"76","Israel"
"77","Italy"
"78","Jamaica"
"79","Japan"
"80","Jordan"
"81","Kazakhstan"
"82","Kenya"
"83","Kuwait"
"84","Latvia"
"85","Lebanon"
"86","Lesotho"
"87","Libya"
"88","Liechtenstein"
"89","Lithuania"
"90","Luxembourg"
"91","Madagascar"
"92","Malawi"
"93","Malaysia"
"94","Mali"
"95","Malta"
"96","Mauritius"
"97","Mexico"
"98","Moldova"
"99","Monaco"
"100","Mongolia"
"101","Morocco"
"102","Mozambique"
"103","Myanmar"
"104","Namibia"
"105","Nepal"
"106","Netherlands"
"107","New Zealand"
"108","Niger"
"109","Nigeria"
"110","Norway"
"111","Oman"
"112","Pakistan"
"113","Palestine"
"114","Panama"
"115","Papua New Guinea"
"116","Paraguay"
"117","Peru"
"118","Philippines"
"119","Poland"
"120","Portugal"
"121","Qatar"
"122","Romania"
"123","Russia"
"124","Rwanda"
"125","Saudi Arabia"
"126","Senegal"
"127","Serbia"
"128","Sierra Leone"
"129","Singapore"
"130","Slovak Republic"
"131","Slovenia"
"132","Somalia"
"133","South Africa"
"134","South Korea"
"135","South Sudan"
"136","Spain"
"137","Sri Lanka"
"138","Suriname"
"139","Sweden"
"140","Switzerland"
"141","Taiwan"
"142","Thailand"
"143","Timor-Leste"
"144","Togo"
"145","Trinidad and Tobago"
"146","Tunisia"
"147","Turkey"
"148","Uganda"
"149","Ukraine"
"150","United Arab Emirates"
"151","United Kingdom"
"152","United States"
"153","Uruguay"
"154","Uzbekistan"
"155","Venezuela"
"156","Vietnam"
"157","Zambia"
"158","Zimbabwe"
